customer_comment,lr_lead_status_name
couple came by my open house at park center did not speak much to them but sending welcome email they say they have realtor,Cold
appointment informationdate thu jan time anymessage,Cold
am looking to buy piece of land in wells me at firefly lane and am looking for value estimate it is acre parcel cleared but it has cmp easement running through the right part of the property,Cold
would like to inquire about the property at insignia drive jenkins township pa property details,Cold
would like to inquire about the property at california city boulevard california city ca,Cold
would like to inquire about the property at abbotsinch ct charlotte nc property details,Cold
notes,Cold
please send me more information on the following listing,Cold
eedge,Cold
notes,Cold
would like to inquire about the property at parkside drive san bernardino ca property details,Cold
would like to inquire about the property at lot helmsdale drive forest va,Cold
would like to inquire about the property at fraser street port charlotte fl what is the property size from the details it says zero to acres thanks photra,Cold
good evening wanted to know of you had any properties that accept section housing vouchers,Cold
opcity working with mark dubrey,Cold
im interested in montgomery ave columbia sc,Cold
im interested in united church rd,Cold
would like to see the property at null in saint elmo requested date time for showing specify here,Cold
is it possible to rent it,Cold
no comment,Cold
recruit am interested in real estate and was interested in finding out how to start career in real estate,Cold
im interested in britt ave,Cold
would like to inquire about the property at arrowhead dr victorville ca,Cold
area clearwater fl split is then,Cold
this lead is for matthew pulley the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
am interested in seeing this property please contact me asap glen,Cold
am interested in alvin reed rd deridder la what is the price of this house,Cold
im interested in matador st,Cold
gender female marital status married military branch usa military status separate mortgage pre qualified no property types single family home price range,Cold
would like to inquire about the property at th lakeside or we are planning to be in lakeside tomorrow and are wondering if it is possible to view this property we are only going to be there for the day thanks sue,Cold
mr ridley am dana boll mom she told me that she mailed you when she was trying to get information on property you listed would like to see properties at claridge ct in new hartford and crescent drive in new york mills you can contact me by mail or my cell is dana has told me she will be relocating to the area in late april and am trying to scout out potential houses for her thanks,Cold
sister in law getting license will probably work with her but wants to keep in contact,Cold
no comment,Cold
am interested in receiving more information about mls id located at genesee st syracuse ny mls id listing type idxurl address genesee st syracuse ny,Cold
would like more information regarding the property at hwy hwy in leon would like to see pictures of the house and the inside,Cold
no comment,Cold
would like to inquire about the property at brewster dr kissimmee fl property details,Cold
would like to inquire about the property at farm road monett mo is this home on perm foundation property details,Cold
notes,Cold
bank preference loandepot loan officer john tate desired neighborhood madison sparkman high school limestone madison near clemons,Cold
notes,Cold
notes,Cold
fsbo englewood ave buffalo ny,Cold
this lead is for omar martinez the cartus case number is please contact by phone prequalification was not received not first time buyer program lender is navy federal credit union,Cold
hi discovered this listing on doorsteps and would love to learn more about it could you please send over any additional information you might have thanks,Cold
lead source rw expo,Cold
rosario vive en mcallen referencia de alejandra,Cold
this lead is for aiqin jiang the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
am interested in wilson ave which found using the realtor com app,Cold
no comment,Cold
would like to inquire about the property at east shoreline drive north augusta sc,Cold
this lead is for john van nortrick the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
am realtor at coldwell banker and would like to show your property,Cold
this lead is for sergeant first class gustavo maldonado the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
zillow,Cold
notes,Cold
would like to request private showing of camelot dr apt bryan,Cold
would like more information regarding the property at mcbride ave apt woodland park,Cold
would like to inquire about the property at washington avenue downingtown pa property details,Cold
no comment,Cold
would like to inquire about the property at woodbluff road lake forest ca property details,Cold
this lead is for staff sergeant michael watkins the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
le hable dani el left ford message,Cold
date ave cabazon ca am interested in date ave cabazon ca you can reach me at,Cold
notes,Cold
notes,Cold
notes,Cold
under gatlinburg,Cold
mitchell rd hartford al you can reach me at,Cold
would like to inquire about the property in north pole ak mls property details,Cold
my neighbor looked at this beautiful home to consider buying it and told me the owners wanted to sell the piano lost mine in the harvey flood and am interested in it can you please give them my name and ask them to call me,Cold
lead source website property search,Cold
was wondering if this home would be willing to rent out to possible tentant,Cold
im interested in ryan rd,Cold
this lead is for robert calhoun the cartus case number is please contact by phone prequalification was received first time buyer price range is up to program lender is navy federal credit union,Cold
no comment,Cold
would like to inquire about the property at thompson rd crossville tn property details,Cold
kelly campbell referral wants garagemahal for bass boat just he and his dog bd ba sqft,Cold
would like to inquire about the property at oak trail circle las vegas nv is this just land or is there house on the property property details,Cold
no comment,Cold
my wife and would like to view this home,Cold
would like to inquire about the property at westbridge rd glenolden pa property details,Cold
no comment,Cold
no comment,Cold
this lead is for lindsay taylor the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
would like more information regarding the property at shorepines ave coos bay or that found on realtor com,Cold
notes,Cold
is this house available for renting,Cold
im interested in turlington ave,Cold
would like to inquire about the property at ventnor ave ventnor nj,Cold
am interested in pamela dr east dublin ga,Cold
notes,Cold
notes,Cold
would like more information regarding the property at loop dr in hanover have been approved for an fha loan still awaiting to see for whag amount but interested in lookong at home,Cold
would like to inquire about the property at th cordele ga property details,Cold
this lead is for johnny starnes the cartus case number is please contact by phone prequalification was received first time buyer price range is up to,Cold
notes,Cold
please send me home values sold price trends and market analysis for idaho st virginia city mt,Cold
notes,Cold
please contact me with more information about this listing,Cold
no comment,Cold
im interested in dukes rd,Cold
no comment,Cold
this lead is for judith camerano the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
notes,Cold
would like more information regarding the property at brandywine st philadelphia pa that found on realtor com,Cold
this lead is for ngocdung firpo the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to,Cold
this lead is for first sergeant michael babb the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to,Cold
hi linda work with mark vallery at trilogy orlando am interested in isle way clermont fl am an agent and sell at trilogy however am looking for myself any help would be greatly appreciated,Cold
notes,Cold
flexible to see it on thursday if given notice am or,Cold
would like to inquire about the property at aberlour dr sumter sc property details,Cold
no comment,Cold
would like to see hobbs farm road please would tomorrow saturday at noon work thank you,Cold
this lead is for sergeant first class cecy case the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to,Cold
metasville rd washington ga do the rooms have closets hard to tell in photos please email not call thank youyou can reach me at,Cold
called in about heritage village tc jester heritage swords creek broken elm drive did not hear back from him,Cold
in final stages of completing licensing requirements and am looking at brokers would like to learn more about coldwell banker thanks amie,Cold
woud lie to make an appointment to see this home asap thank you,Cold
this lead is for charles annan the cartus case number is please contact by phone prequalification was received first time buyer price range is up to program lender is navy federal credit union,Cold
notes,Cold
this lead is for gary duvall the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
am interested in columbia washington county me acres land for sale for,Cold
would like to inquire about the property at zeppelin drive hanover park il property details,Cold
is this home still available,Cold
would love to schedule showing can be available this weekend or any time on monday thanks so much mina,Cold
this lead is for brock galyon the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
gender male marital status married military branch usa military status active mortgage pre qualified yes property types single family home price range,Cold
investor looking for properties to flip,Cold
contact buyer on fb messenger now they are asking to be setup to receive list facebook ad lead wanting info about homes contact on fb messenger too that is where the lead came from contact immediately must be zap agent must contact prospect at least times in hours including phone text facebook messenger email use zap as much as possible send zap email setup property search in zap if you are not zap agent please let susan know right away and we will reassign lead,Cold
notes,Cold
am interested in this property and finsncing,Cold
this lead is for cory ball the cartus case number is please contact by phone prequalification was not received first time buyer price range is to,Cold
notes,Cold
mat and courtney bought scott court in mapleton may th for black lab puppy tank getting married courtney phone and email mat farms by mapleton,Cold
will like to send my offer please send your contact to email and phone number to start the process to buy,Cold
please contact asap,Cold
february pm,Cold
this lead is for joe conley the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to no program lender specified,Cold
would like to inquire about the property at indios avenue las vegas nv property details,Cold
im in need of your professional service please reply as soon as possible,Cold
notes,Cold
this lead is for zack lundeen the cartus case number is please contact by phone prequalification was received not first time buyer price range is to,Cold
would like to inquire about the property at milford ave newark city nj property details,Cold
th st,Cold
good morning so evan and have talked and we re interested in or bedrooms and or baths no pool no hoa we re open to few places to look but ultimately love to stay south and west and he wants bit more in cutler bay ideally we love to stay in the but are open for discussion we have not been pre approved have bit of money to put down when that times comes so that why feel like is appropriate using your guidance for everything you let me know when we should talk to the bank or anything thanks brittany batten,Cold
harlem ave buyer is interested in property,Cold
notes,Cold
this lead is for yesenia garcia the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
